Steps,Policy/Entropy,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
510000,1.7222818,80.01639344262296,0.0,-0.2616998,-0.3347966587934338,-0.3347966587934338,1.0
520000,1.7201911,84.33613445378151,0.0,-0.28448194,-0.29037807193122994,-0.29037807193122994,1.0
530000,1.7013892,79.08730158730158,0.0,-0.31786102,-0.3535538963855259,-0.3535538963855259,1.0
540000,1.6848437,89.44954128440367,0.0,-0.3008915,-0.2628489984707399,-0.2628489984707399,1.0
550000,1.7139257,83.34710743801652,0.0,-0.30946764,-0.32123992492755254,-0.32123992492755254,1.0
560000,1.650439,77.47154471544715,0.0,-0.29934368,-0.37522919657753734,-0.37522919657753734,1.0
570000,1.7037387,75.89312977099236,0.0,-0.2719467,-0.3700090949316971,-0.3700090949316971,1.0
580000,1.6811025,79.56,0.0,-0.26613665,-0.32024792218208314,-0.32024792218208314,1.0
590000,1.7080576,87.45132743362832,0.0,-0.26880312,-0.2303627492052264,-0.2303627492052264,1.0
600000,1.664935,83.17647058823529,0.0,-0.28228757,-0.2808923520961729,-0.2808923520961729,1.0
610000,1.6325352,88.7909090909091,0.0,-0.2470517,-0.2620562797242945,-0.2620562797242945,1.0
620000,1.6366158,88.84684684684684,0.0,-0.2639953,-0.24950705734746798,-0.24950705734746798,1.0
630000,1.6654361,85.0672268907563,0.0,-0.28769627,-0.28775622351329866,-0.28775622351329866,1.0
640000,1.6669457,93.9047619047619,0.0,-0.2565672,-0.19889134197008043,-0.19889134197008043,1.0
650000,1.6384718,89.45370370370371,0.0,-0.1967599,-0.20152954591645134,-0.20152954591645134,1.0
660000,1.6294199,89.8,0.0,-0.2144209,-0.21723627691919153,-0.21723627691919153,1.0
670000,1.6576525,98.64285714285714,0.0,-0.18941928,-0.10926589787006379,-0.10926589787006379,1.0
680000,1.6494223,91.55454545454545,0.0,-0.20749544,-0.2387705612073251,-0.2387705612073251,1.0
690000,1.62604,100.23,0.0,-0.20314087,-0.10585732979349571,-0.10585732979349571,1.0
700000,1.6473491,104.12087912087912,0.0,-0.15031128,-0.09910205654476,-0.09910205654476,1.0
710000,1.6166583,106.32978723404256,0.0,-0.18766215,-0.05273606041644482,-0.05273606041644482,1.0
720000,1.6522801,99.56862745098039,0.0,-0.16416086,-0.11964892201563891,-0.11964892201563891,1.0
730000,1.6258754,105.4235294117647,0.0,-0.12716419,-0.042813840647076454,-0.042813840647076454,1.0
740000,1.5986618,100.09345794392523,0.0,-0.1643723,-0.10575989059039524,-0.10575989059039524,1.0
750000,1.6440287,105.82222222222222,0.0,-0.10489032,-0.04620206129291783,-0.04620206129291783,1.0
760000,1.6296338,111.39583333333333,0.0,-0.09485851,-0.009876285711031281,-0.009876285711031281,1.0
770000,1.6902901,108.69411764705882,0.0,-0.15964314,0.02022402312444604,0.02022402312444604,1.0
780000,1.6798246,114.05102040816327,0.0,-0.15882264,0.06829424500465393,0.06829424500465393,1.0
